alpha,beta,objective,var_z,cvar_calculated,mean_unmet,median_unmet,std_unmet,min_unmet,max_unmet,p5_unmet,p25_unmet,p75_unmet,p95_unmet,total_bought,mean_bought_per_scenario,std_bought_per_scenario,total_stored,mean_stored_per_scenario,unmet_array_hash,bought_array_hash,stored_array_hash
0.75,0.0,5673.972312521879,16999.164087869336,9646.04223468208,5673.972312521885,5290.867752143666,2970.415414742188,0.0,16999.164087869336,956.4004506880738,3582.376315843662,7641.614715287538,10851.549074067485,250898359.74916965,250898.35974916967,1517.4709206896355,49168321.868521504,49168.32186852151,-2062096089024486097,1915244986206492572,-6232209666950486421
0.75,0.2,6468.386296953931,7646.164209682706,9646.04223468208,5673.972312521885,5290.867752143666,2970.415414742188,0.0,16999.164087869336,956.4004506880738,3582.376315843662,7641.614715287538,10851.549074067485,250865337.12135237,250865.3371213524,1531.1771762439125,47087409.35170713,47087.40935170713,511343512964359276,483299652450351377,-7002472179117053212
0.75,0.4,7262.800281385982,7646.164209682706,9646.04223468208,5673.972312521886,5290.867752143666,2970.415414742188,0.0,16999.164087869336,956.4004506880738,3582.376315843662,7641.614715287538,10851.549074067485,250758270.54813868,250758.27054813862,1500.3513246340945,48061271.50619045,48061.271506190446,2053138321799485858,-1307849629293094997,-1028538439227469461
0.75,0.6,8057.214265818005,7646.164209682706,9646.04223468208,5673.972312521886,5290.867752143666,2970.415414742188,0.0,16999.164087869336,956.4004506880738,3582.376315843662,7641.614715287538,10851.549074067485,250805438.7589729,250805.43875897294,1485.8641069634496,48228954.89973499,48228.95489973499,-1739542390887469543,-6335104862166946790,-5775707950641664569
0.75,0.8,8851.628250250036,7646.164209682706,9646.04223468208,5673.972312521886,5290.867752143666,2970.415414742188,0.0,16999.164087869336,956.4004506880738,3582.376315843662,7641.614715287538,10851.549074067485,250786704.82440254,250786.70482440252,1510.5879812310507,47696175.11859147,47696.17511859147,3648802275424406495,-6757186593727657393,943885023453441554
0.75,1.0,9646.042234682076,7646.164209682705,9646.04223468208,7763.220636737883,7646.164209682705,1588.4125040961915,2850.2791051635213,16999.164087869336,5464.286978318102,7375.463259620136,7646.1642096827145,10851.549074067487,249164846.8055215,249164.8468055215,2346.791050022255,62340296.35760085,62340.29635760086,-5583002356369968768,-2133372215879007362,7177859225698793419
0.85,0.0,5673.972312521879,16999.164087869336,10584.95217845083,5673.972312521885,5290.867752143666,2970.415414742188,0.0,16999.164087869336,956.4004506880738,3582.376315843662,7641.614715287538,10851.549074067485,250898359.74916965,250898.35974916967,1517.4709206896355,49168321.868521504,49168.32186852151,-2062096089024486097,1915244986206492572,-6232209666950486421
0.85,0.2,6656.168285707679,8804.359999198241,10584.95217845083,5673.972312521886,5290.867752143666,2970.415414742188,0.0,16999.164087869336,956.4004506880738,3582.376315843662,7641.614715287538,10851.549074067485,250805319.765476,250805.319765476,1535.6019028701671,46382192.494686,46382.192494686,9012716344095961618,8409962689035875789,117944853068347526
0.85,0.4,7638.364258893476,8804.359999198241,10584.95217845083,5673.972312521886,5290.867752143666,2970.415414742188,0.0,16999.164087869336,956.4004506880738,3582.376315843662,7641.614715287538,10851.549074067485,250759319.1724155,250759.31917241553,1519.0359444027931,46187463.03850328,46187.46303850327,-7817171896731376939,-6079249840835889388,-8208691369890201190
0.85,0.6,8620.56023207925,8804.359999198241,10584.95217845083,5673.972312521886,5290.867752143666,2970.415414742188,0.0,16999.164087869336,956.4004506880738,3582.376315843662,7641.614715287538,10851.549074067485,250789793.6466658,250789.7936466658,1529.0018541346774,46631480.15465866,46631.48015465866,5011597973111823370,546537365132515449,306488883888397568
